variable,label,value,kind,instrument
ss_team,1,Adapt (Curry),radio,intake_stabilization_services_intake_form
ss_team,2,Adapt (Douglas),radio,intake_stabilization_services_intake_form
ss_team,3,Benton County Health Department,radio,intake_stabilization_services_intake_form
ss_team,4,Best Care (Crook County),radio,intake_stabilization_services_intake_form
ss_team,5,Best Care (Jefferson County),radio,intake_stabilization_services_intake_form
ss_team,38,Catholic Community Services,radio,intake_stabilization_services_intake_form
ss_team,6,Center for Human Development,radio,intake_stabilization_services_intake_form
ss_team,7,"Clackamas County Health, Housing & Human Services",radio,intake_stabilization_services_intake_form
ss_team,8,Clatsop Behavioral Health,radio,intake_stabilization_services_intake_form
ss_team,9,Columbia Community Mental Health,radio,intake_stabilization_services_intake_form
ss_team,10,Community Counseling Solutions (Gilliam),radio,intake_stabilization_services_intake_form
ss_team,11,Community Counseling Solutions (Grant),radio,intake_stabilization_services_intake_form
ss_team,12,Community Counseling Solutions (Morrow),radio,intake_stabilization_services_intake_form
ss_team,13,Community Counseling Solutions (Umatilla),radio,intake_stabilization_services_intake_form
ss_team,14,Community Counseling Solutions (Wheeler),radio,intake_stabilization_services_intake_form
ss_team,15,Coos Health and Wellness,radio,intake_stabilization_services_intake_form
ss_team,16,Deschutes Behavioral Health,radio,intake_stabilization_services_intake_form
ss_team,17,Jackson County Health & Human Services,radio,intake_stabilization_services_intake_form
ss_team,18,Klamath Basin Behavioral Health,radio,intake_stabilization_services_intake_form
ss_team,19,Lake View Health District,radio,intake_stabilization_services_intake_form
ss_team,20,Lane County Behavioral Health Services (WLCR),radio,intake_stabilization_services_intake_form
ss_team,21,Lane County Behavioral Health Services (Child Center),radio,intake_stabilization_services_intake_form
ss_team,22,Lane County Behavioral Health Services (White Bird),radio,intake_stabilization_services_intake_form
ss_team,23,"Lifeways, Inc.",radio,intake_stabilization_services_intake_form
ss_team,24,Lincoln County Health and Human Services,radio,intake_stabilization_services_intake_form
ss_team,25,Linn County Mental Health,radio,intake_stabilization_services_intake_form
ss_team,26,Marion County Health Department,radio,intake_stabilization_services_intake_form
ss_team,27,Mid-Columbia Center for Living,radio,intake_stabilization_services_intake_form
ss_team,28,Multnomah County Behavioral Health Division,radio,intake_stabilization_services_intake_form
ss_team,29,"New Directions NW, Inc.",radio,intake_stabilization_services_intake_form
ss_team,30,Options for Southern Oregon,radio,intake_stabilization_services_intake_form
ss_team,31,Polk County Addiction and Mental Health Services,radio,intake_stabilization_services_intake_form
ss_team,32,Symmetry Care,radio,intake_stabilization_services_intake_form
ss_team,33,Tillamook Behavioral Health,radio,intake_stabilization_services_intake_form
ss_team,34,Wallowa Valley Center for Wellness,radio,intake_stabilization_services_intake_form
ss_team,35,Warm Springs,radio,intake_stabilization_services_intake_form
ss_team,36,Washington County Health & Human Services,radio,intake_stabilization_services_intake_form
ss_team,37,Yamhill County Health and Human Services,radio,intake_stabilization_services_intake_form
ss_team,39,Youth Villages,radio,intake_stabilization_services_intake_form
parent_relation,1,Parent,radio,intake_stabilization_services_intake_form
parent_relation,2,Foster parent,radio,intake_stabilization_services_intake_form
parent_relation,3,Sibling,radio,intake_stabilization_services_intake_form
parent_relation,4,Extended Family Member,radio,intake_stabilization_services_intake_form
parent_relation,5,DHS Caseworker,radio,intake_stabilization_services_intake_form
parent_relation,6,OYA Guardian,radio,intake_stabilization_services_intake_form
parent_relation,7,Other,radio,intake_stabilization_services_intake_form
parent_contact,1,Email,radio,intake_stabilization_services_intake_form
parent_contact,2,Text,radio,intake_stabilization_services_intake_form
youth_contact,1,Email,radio,intake_stabilization_services_intake_form
youth_contact,2,Text,radio,intake_stabilization_services_intake_form
referral_source,1,Mobile Crisis Intervention Team,radio,intake_stabilization_services_intake_form
referral_source,2,Emergency Department/Hospital,radio,intake_stabilization_services_intake_form
referral_source,3,Crisis Center/Walk-In Clinic,radio,intake_stabilization_services_intake_form
referral_source,4,School,radio,intake_stabilization_services_intake_form
referral_source,5,Other,radio,intake_stabilization_services_intake_form
demo_update,1,Skip demographic information,radio,intake_stabilization_services_intake_form
demo_update,2,Update demographic information,radio,intake_stabilization_services_intake_form
gender,1,Male,radio,intake_stabilization_services_intake_form
gender,2,Female,radio,intake_stabilization_services_intake_form
gender,3,Other,radio,intake_stabilization_services_intake_form
gender,4,Client Unable to Answer,radio,intake_stabilization_services_intake_form
gender,5,Client Declined to Answer,radio,intake_stabilization_services_intake_form
gender,6,Did Not Ask,radio,intake_stabilization_services_intake_form
sexual_orientation,1,Same-gender loving,radio,intake_stabilization_services_intake_form
sexual_orientation,2,Same-sex loving,radio,intake_stabilization_services_intake_form
sexual_orientation,3,Lesbian,radio,intake_stabilization_services_intake_form
sexual_orientation,4,Gay,radio,intake_stabilization_services_intake_form
sexual_orientation,5,Bisexual,radio,intake_stabilization_services_intake_form
sexual_orientation,6,Pansexual,radio,intake_stabilization_services_intake_form
sexual_orientation,7,Straight,radio,intake_stabilization_services_intake_form
sexual_orientation,8,Asexual,radio,intake_stabilization_services_intake_form
sexual_orientation,9,Queer,radio,intake_stabilization_services_intake_form
sexual_orientation,10,Questioning,radio,intake_stabilization_services_intake_form
sexual_orientation,11,Not listed,radio,intake_stabilization_services_intake_form
sexual_orientation,12,Client unable to answer,radio,intake_stabilization_services_intake_form
sexual_orientation,13,Client declined to answer,radio,intake_stabilization_services_intake_form
sexual_orientation,14,Did not ask,radio,intake_stabilization_services_intake_form
race_ethnicity___first,1,Central American,checkbox,intake_stabilization_services_intake_form
race_ethnicity___first,2,Mexican,checkbox,intake_stabilization_services_intake_form
race_ethnicity___first,3,South American,checkbox,intake_stabilization_services_intake_form
race_ethnicity___first,4,Other Hispanic or Latino/a/x,checkbox,intake_stabilization_services_intake_form
race_ethnicity___first,5,Chamoru (Chamorro),checkbox,intake_stabilization_services_intake_form
race_ethnicity___first,6,Marshalles,checkbox,intake_stabilization_services_intake_form
race_ethnicity___first,7,Communities of the Micronesian Regions,checkbox,intake_stabilization_services_intake_form
race_ethnicity___first,8,Native Hawaiian,checkbox,intake_stabilization_services_intake_form
race_ethnicity___first,9,Samoan,checkbox,intake_stabilization_services_intake_form
race_ethnicity___first,10,Other Pacific Islander,checkbox,intake_stabilization_services_intake_form
race_ethnicity___first,11,Eastern European,checkbox,intake_stabilization_services_intake_form
race_ethnicity___first,12,Slavic,checkbox,intake_stabilization_services_intake_form
race_ethnicity___first,13,Western European,checkbox,intake_stabilization_services_intake_form
race_ethnicity___first,14,Other White,checkbox,intake_stabilization_services_intake_form
race_ethnicity___first,15,American Indian,checkbox,intake_stabilization_services_intake_form
race_ethnicity___first,16,Alaska Native,checkbox,intake_stabilization_services_intake_form
race_ethnicity___first,17,"Candian Inuit, Metis or First Nation",checkbox,intake_stabilization_services_intake_form
race_ethnicity___first,18,"Indigenous Mexican, Central Americand or South American",checkbox,intake_stabilization_services_intake_form
race_ethnicity___first,19,African American,checkbox,intake_stabilization_services_intake_form
race_ethnicity___first,20,Afro-Carribean,checkbox,intake_stabilization_services_intake_form
race_ethnicity___first,21,Ethiopian,checkbox,intake_stabilization_services_intake_form
race_ethnicity___first,22,Somali,checkbox,intake_stabilization_services_intake_form
race_ethnicity___first,23,Other African (Black),checkbox,intake_stabilization_services_intake_form
race_ethnicity___first,24,Other Black,checkbox,intake_stabilization_services_intake_form
race_ethnicity___first,25,Middle Eastern,checkbox,intake_stabilization_services_intake_form
race_ethnicity___first,26,North African,checkbox,intake_stabilization_services_intake_form
race_ethnicity___first,27,Asian Indian,checkbox,intake_stabilization_services_intake_form
race_ethnicity___first,28,Cambodian,checkbox,intake_stabilization_services_intake_form
race_ethnicity___first,29,Chinese,checkbox,intake_stabilization_services_intake_form
race_ethnicity___first,30,Communities of Myanmar,checkbox,intake_stabilization_services_intake_form
race_ethnicity___first,31,Filipino/a,checkbox,intake_stabilization_services_intake_form
race_ethnicity___first,32,Hmong,checkbox,intake_stabilization_services_intake_form
race_ethnicity___first,33,Japanese,checkbox,intake_stabilization_services_intake_form
race_ethnicity___first,34,Korean,checkbox,intake_stabilization_services_intake_form
race_ethnicity___first,35,Laotian,checkbox,intake_stabilization_services_intake_form
race_ethnicity___first,36,South Asian,checkbox,intake_stabilization_services_intake_form
race_ethnicity___first,37,Vietnamese,checkbox,intake_stabilization_services_intake_form
race_ethnicity___first,38,Other Asian,checkbox,intake_stabilization_services_intake_form
race_ethnicity___first,39,Other,checkbox,intake_stabilization_services_intake_form
race_ethnicity___first,40,Client Unable to Answer,checkbox,intake_stabilization_services_intake_form
race_ethnicity___first,41,Client Declined to Answer,checkbox,intake_stabilization_services_intake_form
race_ethnicity___first,42,Did Not Ask,checkbox,intake_stabilization_services_intake_form
race_ethnicity___second,1,Central American,checkbox,intake_stabilization_services_intake_form
race_ethnicity___second,2,Mexican,checkbox,intake_stabilization_services_intake_form
race_ethnicity___second,3,South American,checkbox,intake_stabilization_services_intake_form
race_ethnicity___second,4,Other Hispanic or Latino/a/x,checkbox,intake_stabilization_services_intake_form
race_ethnicity___second,5,Chamoru (Chamorro),checkbox,intake_stabilization_services_intake_form
race_ethnicity___second,6,Marshalles,checkbox,intake_stabilization_services_intake_form
race_ethnicity___second,7,Communities of the Micronesian Regions,checkbox,intake_stabilization_services_intake_form
race_ethnicity___second,8,Native Hawaiian,checkbox,intake_stabilization_services_intake_form
race_ethnicity___second,9,Samoan,checkbox,intake_stabilization_services_intake_form
race_ethnicity___second,10,Other Pacific Islander,checkbox,intake_stabilization_services_intake_form
race_ethnicity___second,11,Eastern European,checkbox,intake_stabilization_services_intake_form
race_ethnicity___second,12,Slavic,checkbox,intake_stabilization_services_intake_form
race_ethnicity___second,13,Western European,checkbox,intake_stabilization_services_intake_form
race_ethnicity___second,14,Other White,checkbox,intake_stabilization_services_intake_form
race_ethnicity___second,15,American Indian,checkbox,intake_stabilization_services_intake_form
race_ethnicity___second,16,Alaska Native,checkbox,intake_stabilization_services_intake_form
race_ethnicity___second,17,"Candian Inuit, Metis or First Nation",checkbox,intake_stabilization_services_intake_form
race_ethnicity___second,18,"Indigenous Mexican, Central Americand or South American",checkbox,intake_stabilization_services_intake_form
race_ethnicity___second,19,African American,checkbox,intake_stabilization_services_intake_form
race_ethnicity___second,20,Afro-Carribean,checkbox,intake_stabilization_services_intake_form
race_ethnicity___second,21,Ethiopian,checkbox,intake_stabilization_services_intake_form
race_ethnicity___second,22,Somali,checkbox,intake_stabilization_services_intake_form
race_ethnicity___second,23,Other African (Black),checkbox,intake_stabilization_services_intake_form
race_ethnicity___second,24,Other Black,checkbox,intake_stabilization_services_intake_form
race_ethnicity___second,25,Middle Eastern,checkbox,intake_stabilization_services_intake_form
race_ethnicity___second,26,North African,checkbox,intake_stabilization_services_intake_form
race_ethnicity___second,27,Asian Indian,checkbox,intake_stabilization_services_intake_form
race_ethnicity___second,28,Cambodian,checkbox,intake_stabilization_services_intake_form
race_ethnicity___second,29,Chinese,checkbox,intake_stabilization_services_intake_form
race_ethnicity___second,30,Communities of Myanmar,checkbox,intake_stabilization_services_intake_form
race_ethnicity___second,31,Filipino/a,checkbox,intake_stabilization_services_intake_form
race_ethnicity___second,32,Hmong,checkbox,intake_stabilization_services_intake_form
race_ethnicity___second,33,Japanese,checkbox,intake_stabilization_services_intake_form
race_ethnicity___second,34,Korean,checkbox,intake_stabilization_services_intake_form
race_ethnicity___second,35,Laotian,checkbox,intake_stabilization_services_intake_form
race_ethnicity___second,36,South Asian,checkbox,intake_stabilization_services_intake_form
race_ethnicity___second,37,Vietnamese,checkbox,intake_stabilization_services_intake_form
race_ethnicity___second,38,Other Asian,checkbox,intake_stabilization_services_intake_form
race_ethnicity___second,39,Other,checkbox,intake_stabilization_services_intake_form
race_ethnicity___second,40,Client Unable to Answer,checkbox,intake_stabilization_services_intake_form
race_ethnicity___second,41,Client Declined to Answer,checkbox,intake_stabilization_services_intake_form
race_ethnicity___second,42,Did Not Ask,checkbox,intake_stabilization_services_intake_form
race_ethnicity___third,1,Central American,checkbox,intake_stabilization_services_intake_form
race_ethnicity___third,2,Mexican,checkbox,intake_stabilization_services_intake_form
race_ethnicity___third,3,South American,checkbox,intake_stabilization_services_intake_form
race_ethnicity___third,4,Other Hispanic or Latino/a/x,checkbox,intake_stabilization_services_intake_form
race_ethnicity___third,5,Chamoru (Chamorro),checkbox,intake_stabilization_services_intake_form
race_ethnicity___third,6,Marshalles,checkbox,intake_stabilization_services_intake_form
race_ethnicity___third,7,Communities of the Micronesian Regions,checkbox,intake_stabilization_services_intake_form
race_ethnicity___third,8,Native Hawaiian,checkbox,intake_stabilization_services_intake_form
race_ethnicity___third,9,Samoan,checkbox,intake_stabilization_services_intake_form
race_ethnicity___third,10,Other Pacific Islander,checkbox,intake_stabilization_services_intake_form
race_ethnicity___third,11,Eastern European,checkbox,intake_stabilization_services_intake_form
race_ethnicity___third,12,Slavic,checkbox,intake_stabilization_services_intake_form
race_ethnicity___third,13,Western European,checkbox,intake_stabilization_services_intake_form
race_ethnicity___third,14,Other White,checkbox,intake_stabilization_services_intake_form
race_ethnicity___third,15,American Indian,checkbox,intake_stabilization_services_intake_form
race_ethnicity___third,16,Alaska Native,checkbox,intake_stabilization_services_intake_form
race_ethnicity___third,17,"Candian Inuit, Metis or First Nation",checkbox,intake_stabilization_services_intake_form
race_ethnicity___third,18,"Indigenous Mexican, Central Americand or South American",checkbox,intake_stabilization_services_intake_form
race_ethnicity___third,19,African American,checkbox,intake_stabilization_services_intake_form
race_ethnicity___third,20,Afro-Carribean,checkbox,intake_stabilization_services_intake_form
race_ethnicity___third,21,Ethiopian,checkbox,intake_stabilization_services_intake_form
race_ethnicity___third,22,Somali,checkbox,intake_stabilization_services_intake_form
race_ethnicity___third,23,Other African (Black),checkbox,intake_stabilization_services_intake_form
race_ethnicity___third,24,Other Black,checkbox,intake_stabilization_services_intake_form
race_ethnicity___third,25,Middle Eastern,checkbox,intake_stabilization_services_intake_form
race_ethnicity___third,26,North African,checkbox,intake_stabilization_services_intake_form
race_ethnicity___third,27,Asian Indian,checkbox,intake_stabilization_services_intake_form
race_ethnicity___third,28,Cambodian,checkbox,intake_stabilization_services_intake_form
race_ethnicity___third,29,Chinese,checkbox,intake_stabilization_services_intake_form
race_ethnicity___third,30,Communities of Myanmar,checkbox,intake_stabilization_services_intake_form
race_ethnicity___third,31,Filipino/a,checkbox,intake_stabilization_services_intake_form
race_ethnicity___third,32,Hmong,checkbox,intake_stabilization_services_intake_form
race_ethnicity___third,33,Japanese,checkbox,intake_stabilization_services_intake_form
race_ethnicity___third,34,Korean,checkbox,intake_stabilization_services_intake_form
race_ethnicity___third,35,Laotian,checkbox,intake_stabilization_services_intake_form
race_ethnicity___third,36,South Asian,checkbox,intake_stabilization_services_intake_form
race_ethnicity___third,37,Vietnamese,checkbox,intake_stabilization_services_intake_form
race_ethnicity___third,38,Other Asian,checkbox,intake_stabilization_services_intake_form
race_ethnicity___third,39,Other,checkbox,intake_stabilization_services_intake_form
race_ethnicity___third,40,Client Unable to Answer,checkbox,intake_stabilization_services_intake_form
race_ethnicity___third,41,Client Declined to Answer,checkbox,intake_stabilization_services_intake_form
race_ethnicity___third,42,Did Not Ask,checkbox,intake_stabilization_services_intake_form
idd,1,Yes,radio,intake_stabilization_services_intake_form
idd,2,No,radio,intake_stabilization_services_intake_form
idd,3,Unable to determine,radio,intake_stabilization_services_intake_form
veteran_status,Yes,"Veteran, no specified branch",radio,intake_stabilization_services_intake_form
veteran_status,YVA,"Veteran, current/former active duty",radio,intake_stabilization_services_intake_form
veteran_status,YVG,"Veteran, current/former guard/reserve",radio,intake_stabilization_services_intake_form
veteran_status,NG,"Not a veteran, current/former guard/reserve",radio,intake_stabilization_services_intake_form
veteran_status,No,No service history,radio,intake_stabilization_services_intake_form
veteran_status,UNK1,Client unable to answer,radio,intake_stabilization_services_intake_form
veteran_status,UNK2,Client declined to answer,radio,intake_stabilization_services_intake_form
veteran_status,UNK3,Did not ask,radio,intake_stabilization_services_intake_form
dhs_status,1,DHS Report Made,checkbox,intake_stabilization_services_intake_form
dhs_status,2,"DHS Oversight, No Custody",checkbox,intake_stabilization_services_intake_form
dhs_status,3,DHS Custody,checkbox,intake_stabilization_services_intake_form
dhs_status,4,"Hx of DHS Involvement, No Current Involvement",checkbox,intake_stabilization_services_intake_form
dhs_status,5,No Known DHS Involvement,checkbox,intake_stabilization_services_intake_form
dhs_status,6,Not Listed,checkbox,intake_stabilization_services_intake_form
dhs_status,7,Client Unable to Answer,checkbox,intake_stabilization_services_intake_form
dhs_status,8,Client Declined to Answer,checkbox,intake_stabilization_services_intake_form
dhs_status,9,Did Not Ask,checkbox,intake_stabilization_services_intake_form
dhs_status,1,1,checkbox,intake_stabilization_services_intake_form
dhs_status,2,2,checkbox,intake_stabilization_services_intake_form
dhs_status,3,3,checkbox,intake_stabilization_services_intake_form
dhs_status,4,4,checkbox,intake_stabilization_services_intake_form
dhs_status,5,5,checkbox,intake_stabilization_services_intake_form
dhs_status,6,6,checkbox,intake_stabilization_services_intake_form
dhs_status,7,7,checkbox,intake_stabilization_services_intake_form
dhs_status,8,8,checkbox,intake_stabilization_services_intake_form
dhs_status,9,9,checkbox,intake_stabilization_services_intake_form
living_situation,1,Transient/Homeless,radio,intake_stabilization_services_intake_form
living_situation,2,Foster Home,radio,intake_stabilization_services_intake_form
living_situation,3,Residential Facility,radio,intake_stabilization_services_intake_form
living_situation,4,Jail,radio,intake_stabilization_services_intake_form
living_situation,5,Prison,radio,intake_stabilization_services_intake_form
living_situation,6,Room and Board,radio,intake_stabilization_services_intake_form
living_situation,7,Supported Housing,radio,intake_stabilization_services_intake_form
living_situation,8,Supportive Housing (scattered site),radio,intake_stabilization_services_intake_form
living_situation,9,Supportive Housing (congregate site),radio,intake_stabilization_services_intake_form
living_situation,10,Alcohol and Drug Free Housing,radio,intake_stabilization_services_intake_form
living_situation,11,Oxford Home,radio,intake_stabilization_services_intake_form
living_situation,12,Other Private Residence,radio,intake_stabilization_services_intake_form
living_situation,13,Private Residence (at home),radio,intake_stabilization_services_intake_form
living_situation,14,Private Residence (with relative),radio,intake_stabilization_services_intake_form
living_situation,15,Private Residence (with non-relative),radio,intake_stabilization_services_intake_form
living_situation,16,Residential Facility (SUD),radio,intake_stabilization_services_intake_form
living_situation,17,Proctor/Private Foster Care Residential Facility (BRS),radio,intake_stabilization_services_intake_form
living_situation,18,Residential Facility (CSEC),radio,intake_stabilization_services_intake_form
living_situation,19,Residential Facility (PRTS),radio,intake_stabilization_services_intake_form
living_situation,20,Residential Facility (SCIP/SAIP),radio,intake_stabilization_services_intake_form
living_situation,21,Residential Facility (SRTF for YAT),radio,intake_stabilization_services_intake_form
living_situation,22,Residential Facility (RTH for YAT),radio,intake_stabilization_services_intake_form
living_situation,23,Secure Residential (SRTF Adult),radio,intake_stabilization_services_intake_form
living_situation,24,Residential Sub-Acute Care Facility,radio,intake_stabilization_services_intake_form
living_situation,94,Client Unable to Answer,radio,intake_stabilization_services_intake_form
living_situation,95,Client Declined to Answer,radio,intake_stabilization_services_intake_form
living_situation,96,Did Not Ask,radio,intake_stabilization_services_intake_form
living_situation,97,Not Listed,radio,intake_stabilization_services_intake_form
living_situation,98,Other DHS Setting,radio,intake_stabilization_services_intake_form
living_situation,99,Assisted Living Facility,radio,intake_stabilization_services_intake_form
primary_insurance,1,Oregon Medicare,radio,intake_stabilization_services_intake_form
primary_insurance,2,Oregon Medicaid,radio,intake_stabilization_services_intake_form
primary_insurance,3,Private/Commercial,radio,intake_stabilization_services_intake_form
primary_insurance,4,Tribal Insurance/Indian Health Services,radio,intake_stabilization_services_intake_form
primary_insurance,5,Tricare/VA,radio,intake_stabilization_services_intake_form
primary_insurance,6,Other State Medicare/Medicaid,radio,intake_stabilization_services_intake_form
primary_insurance,7,Uninsured,radio,intake_stabilization_services_intake_form
primary_insurance,8,Not Listed,radio,intake_stabilization_services_intake_form
primary_insurance,9,Client Unable to Answer,radio,intake_stabilization_services_intake_form
primary_insurance,10,Client Declined to Answer,radio,intake_stabilization_services_intake_form
primary_insurance,11,Did Not Ask,radio,intake_stabilization_services_intake_form
secondary_insurance,1,Oregon Medicare,radio,intake_stabilization_services_intake_form
secondary_insurance,2,Oregon Medicaid,radio,intake_stabilization_services_intake_form
secondary_insurance,3,Private/Commercial,radio,intake_stabilization_services_intake_form
secondary_insurance,4,Tribal Insurance/Indian Health Services,radio,intake_stabilization_services_intake_form
secondary_insurance,5,Tricare/VA,radio,intake_stabilization_services_intake_form
secondary_insurance,6,Other State Medicare/Medicaid,radio,intake_stabilization_services_intake_form
secondary_insurance,7,Uninsured,radio,intake_stabilization_services_intake_form
secondary_insurance,8,Not Listed,radio,intake_stabilization_services_intake_form
secondary_insurance,9,Client Unable to Answer,radio,intake_stabilization_services_intake_form
secondary_insurance,10,Client Declined to Answer,radio,intake_stabilization_services_intake_form
secondary_insurance,11,Did Not Ask,radio,intake_stabilization_services_intake_form
secondary_insurance,12,No Secondary Insurance,radio,intake_stabilization_services_intake_form
cco,1,Advanced Health,radio,intake_stabilization_services_intake_form
cco,2,AllCare CCO,radio,intake_stabilization_services_intake_form
cco,3,Cascade Health Alliance,radio,intake_stabilization_services_intake_form
cco,4,Columbia Pacific CCO,radio,intake_stabilization_services_intake_form
cco,5,Eastern Oregon CCO,radio,intake_stabilization_services_intake_form
cco,6,Health Share of Oregon,radio,intake_stabilization_services_intake_form
cco,7,InterCommunity Health Network CCO,radio,intake_stabilization_services_intake_form
cco,8,Jackson Care Connect,radio,intake_stabilization_services_intake_form
cco,9,PacificSource Community Solutions: Central,radio,intake_stabilization_services_intake_form
cco,10,PacificSource Community Solutions: Columbia Gorge,radio,intake_stabilization_services_intake_form
cco,11,PacificSource Community Solutions: Lane,radio,intake_stabilization_services_intake_form
cco,12,PacificSource Community Solutions: Marion/Polk,radio,intake_stabilization_services_intake_form
cco,13,Trillium Community Health Plan: Southwest,radio,intake_stabilization_services_intake_form
cco,14,Trillium Community Health Plan: Tri-County,radio,intake_stabilization_services_intake_form
cco,15,Umpqua Health Alliance,radio,intake_stabilization_services_intake_form
cco,16,Yamhill Community Care,radio,intake_stabilization_services_intake_form
commercial_carrier,1,Aetna,radio,intake_stabilization_services_intake_form
commercial_carrier,2,BridgeSpan,radio,intake_stabilization_services_intake_form
commercial_carrier,3,Cigna,radio,intake_stabilization_services_intake_form
commercial_carrier,4,Health Net,radio,intake_stabilization_services_intake_form
commercial_carrier,5,Kaiser,radio,intake_stabilization_services_intake_form
commercial_carrier,6,LifeWise,radio,intake_stabilization_services_intake_form
commercial_carrier,7,Moda,radio,intake_stabilization_services_intake_form
commercial_carrier,8,Providence,radio,intake_stabilization_services_intake_form
commercial_carrier,9,Regence BlueCross BlueShield,radio,intake_stabilization_services_intake_form
commercial_carrier,10,United Health Care,radio,intake_stabilization_services_intake_form
commercial_carrier,11,Other {commercial_carrier_other},radio,intake_stabilization_services_intake_form
presenting_issue___first,1,Mental Health Concerns,checkbox,intake_stabilization_services_intake_form
presenting_issue___first,2,Needs Connection to Resources/Services/Supports,checkbox,intake_stabilization_services_intake_form
presenting_issue___first,3,Substance Use Needs,checkbox,intake_stabilization_services_intake_form
presenting_issue___first,4,I/DD Needs,checkbox,intake_stabilization_services_intake_form
presenting_issue___first,5,Suicidal Ideation/Suicide Risk,checkbox,intake_stabilization_services_intake_form
presenting_issue___first,6,Agitation or Aggression,checkbox,intake_stabilization_services_intake_form
presenting_issue___first,7,Needs More Intensive Services than Community-Based Care,checkbox,intake_stabilization_services_intake_form
presenting_issue___second,1,Mental Health Concerns,checkbox,intake_stabilization_services_intake_form
presenting_issue___second,2,Needs Connection to Resources/Services/Supports,checkbox,intake_stabilization_services_intake_form
presenting_issue___second,3,Substance Use Needs,checkbox,intake_stabilization_services_intake_form
presenting_issue___second,4,I/DD Needs,checkbox,intake_stabilization_services_intake_form
presenting_issue___second,5,Suicidal Ideation/Suicide Risk,checkbox,intake_stabilization_services_intake_form
presenting_issue___second,6,Agitation or Aggression,checkbox,intake_stabilization_services_intake_form
presenting_issue___second,7,Needs More Intensive Services than Community-Based Care,checkbox,intake_stabilization_services_intake_form
presenting_issue___third,1,Mental Health Concerns,checkbox,intake_stabilization_services_intake_form
presenting_issue___third,2,Needs Connection to Resources/Services/Supports,checkbox,intake_stabilization_services_intake_form
presenting_issue___third,3,Substance Use Needs,checkbox,intake_stabilization_services_intake_form
presenting_issue___third,4,I/DD Needs,checkbox,intake_stabilization_services_intake_form
presenting_issue___third,5,Suicidal Ideation/Suicide Risk,checkbox,intake_stabilization_services_intake_form
presenting_issue___third,6,Agitation or Aggression,checkbox,intake_stabilization_services_intake_form
